commonName	scientificName	scientificName2	scientificName3	scientificName4
Cucumber	Cucumis sativus			
Brown daisy	Rudbeckia hirta			
Common daisy	 daisy	Bellis perennis		
Gloriosa daisy	Rudbeckia hirta			
Poorland daisy	Rudbeckia hirta			
Yellow daisy	Rudbeckia hirta			
Yellow ox-eye daisy	Rudbeckia hirta			
Henbit deadnettle	Lamium amplexicaule			
Red deadnettle	Lamium purpureum			
Spotted deadnettle	Lamium maculatum			
Desert Rose	Adenium obesum			
Devils bite	Veratrum viride			
Devils darning needle	Clematis virginiana			
Devils nose	Clematis virginiana			
Devils plague	Daucus carota			
Bristly dewberry	Rubus hispidus			
Swamp dewberry	Rubus hispidus			
Dindle	Sonchus arvensis			
American dogwood	Cornus florida			
Florida dogwood	Cornus florida			
Flowering dogwood	Cornus florida			
Japanese flowering dogwood	Cornus kousa			
Kousa dogwood	Cornus kousa			
Drumstick	Moringa oleifera			
Pacific dogwood	Cornus nuttallii			
Silky dogwood	Cornus amomum			
Swamp dogwood	Cornus amomum			
Duck retten	Veratrum viride			
Duscle	Solanum nigrum			
Durian	Durio zibethinus			
Durian kura kura	Durio testudinarius			
Durian munjit	Durio grandiflorus			
Durian pulu	Durio kutejensis			
Red durian	Durio dulcis			
Dye-leaves	Ilex glabra			
Easter orchid	Cattleya schroederae			
Earth gall	Veratrum viride			
Elegant lupine	Lupinus elegans			
Elephant apple	Dillenia indica			
English bulls eye	Rudbeckia hirta			
Eucalyptus	Eucalyptus 			
Evergreen huckleberry	Vaccinium ovatum			
Fair-maid-of-France	Achillea ptarmica			
Fairymoss	Azolla caroliniana			
Fellenwort	Solanum dulcamara			
Felonwood	Solanum dulcamara			
Felonwort	Solanum dulcamara			
Fennel	Foeniculum vulgare			
Boston fern or sword fern	Nephrolepis exaltata			
Christmas fern	Polystichum acrostichoides			
Coast polypody	Polypodium scouleri			
Kimberly queen fern	Nephrolepis obliterata			
Korean rock fern	Polystichum tsus-simense			
Mosquito fern	Azolla caroliniana			
Sword ferns	Polystichum 			
Water fern	Azolla caroliniana			
Western sword fern	Polystichum munitum			
Feverbush	Ilex verticillata			
Feverfew	Tanacetum parthenium			
Field forget-me-not	Myosotis arvensis			
Common fig	Ficus carica			
New Zealand flax	Phormium tenax			
New Zealand flax	Phormium colensoi			
Fluxroot	Asclepias tuberosa			
Foxglove	Digitalis purpurea			
Yellow fumewort	Corydalis flavula			
Gallberry	Ilex glabra			
Garget	Phytolacca americana			
Golden garlic	Allium moly			
Wild garlic	Allium canadense			
Garlic mustard	Alliaria petiolata			
Garlic root	Alliaria petiolata			
Germander speedwell	Veronica chamaedrys			
Dames gilliflower	Hesperis matronalis			
Night scented gilliflower	Hesperis matronalis			
Queens gilliflower	Hesperis matronalis			
Rogues gilliflower	Hesperis matronalis			
Winter gilliflower	Hesperis matronalis			
Golden buttons	Tanacetum vulgare			
Goldenglow	Rudbeckia laciniata			
Golden Jerusalem	Rudbeckia hirta			
Gordaldo	Achillea millefolium			
Goose tongue	Achillea ptarmica			
Grapefruit	Citrus × paradisi			
Green berry nightshade	Solanum opacum			
Groundberry	Rubus hispidus			
Bristly groundberry	Rubus hispidus			
Gutweed	Sonchus arvensis			
Haldi	Curcuma domestica			
Rock harlequin	Corydalis sempervirens			
Yellow harlequin	Corydalis flavula			
Hay fever weed	Ambrosia artemisiifolia	Artemisia trifida		
Healing blade	Plantago major			
Hedge plant	Maclura pomifera			
American white hellebore	Veratrum viride			
Big hellebore	Veratrum viride			
Black hellebore	Veratrum nigrum			
European white hellebore	Veratrum album			
False hellebore	Veratrum album	Veratrum viride		
Swamp hellebore	Veratrum viride			
White hellebore	Veratrum album	Veratrum viride		
Hemp	Cannabis spp.		Cannabis sativa	
Hemp dogbane	Apocynum cannabinum			
Hen plant	Plantago major			
Herb barbara	Barbarea vulgaris			
Hogweed	Ambrosia artemisiifolia			
Deciduous holly	Ilex decidua	Ilex verticillata		
European holly	Ilex aquifolium			
Inkberry holly	Ilex glabra			
Meadow holly	Ilex decidua			
Swamp holly	Ilex decidua			
Winterberry holly	Ilex verticillata			
Honesty	Lunaria annua			
Horse cane	Ambrosia trifida			
Hounds berry	Solanum nigrum			
Huckleberry	Vaccinium 			
Evergreen huckleberry	Vaccinium ovatum			
Trailing red huckleberry	Vaccinium parvifolium			
Houseleek	Sempervivum tectorum			
Hydrangea	Hydrangea macrophylla			
Indian hemp	various genera			
Indian hemp	Apocynum cannabinum	Cannabis indica		
White Indian hemp	Asclepias incarnata			
Indian paintbrush	Castilleja	Castilleja mutis	Asclepias tuberosa	
Indian posy	Asclepias tuberosa			
Inkberry	Ilex glabra	Phytolacca americana		
Ironwood	Acacia estrophiolata			
Isle of Man cabbage	Coincya monensis			
Itchweed	Veratrum viride			
Jack-by-the-hedge	Alliaria petiolata			
Jack-in-the-bush	Alliaria petiolata			
Jasmine	Jasminum officinale			
Jewel orchid	Ludisia discolor			
Jointed rush	Juncus kraussii			
Jugflower	Adenanthos obovatus			
Juneberry	Amelanchier canadensis			
Juniper	Various species in the genus Juniperus			
Keek	Rorippa sylvestris			
King fern	Ptisana salicina			
Kinnikinnik	Cornus amomum			
Kittentail	Veronica bullii			
Kousa	Cornus kousa			
Kudzu	Pueraria montana			
Kumarahou	Pomaderris kumeraho			
Laceflower	Daucus carota			
Lace fern	Asparagus setaceus			
Ladys mantle	Alchemilla mollis			
Ladys smock	Cardamine pratensis			
Lambs foot	Plantago major			
Laurel magnolia	Magnolia splendens			
Lemon	Citrus × limon			
Leopard lily	Lilium catesbaei			
Lily of the Nile	Agapanthus praecox			
Lettuce	Lactuca sativa			
Lily leek	Allium moly			
Summer lilac	Hesperis matronalis			
Lone fleabane	Erigeron cavernensis			
Love-lies-bleeding	Amaranthus caudatus			
Love vine	Clematis virginiana			
Brackens Brown Beauty magnolia	Magnolia grandiflora			
Kay Parris magnolia	Magnolia grandiflora			
Little Gem magnolia	Magnolia grandiflora			
Moonglow magnolia	Magnolia virginiana			
Royal Star magnolia	Magnolia stellata			
Serendipity Ruby magnolia	Magnolia figo			
Stellar Ruby magnolia	Magnolia figo			
Sweetbay magnolia	Magnolia virginiana			
Teddy Bear magnolia	Magnolia grandiflora			
Waterlilly Star magnolia	Magnolia stellata			
Mango	Mangifera indica			
Ash-leaved maple	Acer negundo			
Black maple	Acer nigrum			
Creek maple	Acer saccharinum			
Cutleaf maple	Acer negundo			
Maple ash	Acer negundo			
Moose maple	Acer pensylvanicum			
Red river maple	Acer negundo			
River maple	Acer saccharinum			
Silver maple	Acer saccharinum			
Silverleaf maple	Acer saccharinum			
Soft maple	Acer saccharinum			
Striped maple	Acer pensylvanicum			
Swamp maple	Acer saccharinum			
Water maple	Acer saccharinum			
White maple	Acer saccharinum			
Honey mesquite	Prosopis glandulosa			
Milfoil	Achillea millefolium			
Milkweed	Asclepias	Sonchus oleraceus		
Blunt-leaved Milkweed	Asclepias amplexicaulis			
Common milkweed	Asclepias syriaca			
Horsetail milkweed	Asclepias verticillata			
Orange milkweed	Asclepias tuberosa			
Swamp milkweed	Asclepias incarnata			
Rose milkweed	Asclepias incarnata			
Whorled milkweed	Asclepias verticillata			
Yellow milkweed	Asclepias tuberosa			
Milky tassel	Sonchus oleraceus			
Moosewood	Acer pensylvanicum			
Petty morel	Solanum nigrum			
Morelle verte	Solanum opacum			
Mosquito plant	Azolla caroliniana			
Mother-of-the-evening	Hesperis matronalis			
Mountain mahogany	Betula lenta			
Red mulberry	Morus rubra			
White mulberry	Morus alba			
Native fuchsia	Epacris longiflora			
Necklace fern	Asplenium flabellifolium			
Neem	Azadirachta indica			
Nettle	Urtica dioica			
Bull nettle	Solanum carolinense			
Carolina horse nettle	Solanum carolinense			
Horse nettle	Solanum carolinense			
American nightshade	Phytolacca americana	Solanum americanum		
Bitter nightshade	Solanum dulcamara			
Black nightshade	Solanum nigrum	Solanum americanum		
Climbing nightshade	Solanum dulcamara			
Deadly nightshade	Atropa belladonna			
Garden nightshade	Solanum nigrum			
Trailing nightshade	Solanum dulcamara			
Trailing violet nightshade	Solanum dulcamara			
Woody nightshade	Solanum dulcamara			
Nodding wakerobin	Trillium cernuum			
Northern moonwort	Botrychium boreale			
Nosebleed	Achillea millefolium			
Blue oak	Quercus douglasii			
Bur oak	Quercus macrocarpa			
California Black	Quercus kelloggii			
Canyon Live	Quercus chrysolepis			
Champion oak	Quercus rubra			
Coast live oak	Quercus agrifolia			
Cork oak	Quercus suber			
Dyers oak	Quercus velutina			
Eastern black oak	Quercus velutina			
English oak	Quercus robur			
Island oak	Quercus tomentella			
Mirbecks oak	Quercus canariensis			
Mossycup white oak	Quercus macrocarpa			
Northern red oak	Quercus rubra			
Pedunculate oak	Quercus robur			
Pin oak	Quercus palustris			
Red oak	Quercus rubra	Quercus coccinea		
Scarlet oak	Quercus coccinea			
Scrub oak	Quercus macrocarpa			
Sessile oak	Quercus petraea			
Spanish oak	Quercus coccinea	Quercus rubra		
Spotted oak	Quercus velutina			
Swamp oak	Quercus palustris	Quercus bicolor		
Swamp Spanish oak	Quercus palustris			
Swamp white oak	Quercus bicolor			
Valley oak	Quercus lobata			
White oak	Quercus alba			
Yellowbark oak	Quercus velutina			
Obedient Plant	Physostegia virginiana			
Olive	Olea europaea			
Common onion	Allium cepa			
Giant onion	Allium giganteum			
Nodding onion	Allium cernuum			
Tree onion	Allium canadense			
Wild onion	Allium canadense			
Osage orange	Maclura pomifera			
Wild orange	Maclura pomifera			
Orange-root	Asclepias tuberosa			
Osage	Maclura pomifera			
Red osier	Cornus amomum			
Parsley	Petroselinum crispum			
Parsnip	Pastinaca sativa	Daucus carota		
Pea	Pisum sativum			
Peach	Prunus persica			
Peanut	Arachis hypogaea			
Bastard pellitory	Achillea ptarmica			
European pellitory	Achillea ptarmica			
Wild pellitory	Achillea ptarmica			
Penny hedge	Alliaria petiolata			
Pepper root	Cardamine concatenata			
Petty spurge	Euphorbia peplus			
Pigeon berry	Phytolacca americana			
Loblolly Pine	Pinus taeda			
Pineapple	Ananas comosus			
Pistachio	Pistacia vera			
Plane (European sycamore	Platanus acerifolia			
Broadleaf plantain	Plantago major			
Common plantain	Plantago major			
Dooryard plantain	Plantago major			
Greater plantain	Plantago major			
Roundleaf plantain	Plantago major			
Wayside plantain	Plantago major			
Pleurisy root	Asclepias tuberosa			
Poached egg plant	Limnanthes douglasii			
Pocan bush	Phytolacca americana			
Poison ivy	Toxicodendron radicans			
Poisonberry	Solanum dulcamara			
Poisonflower	Solanum dulcamara			
Poke	Phytolacca americana			
Indian poke	Veratrum viride			
Pokeroot	Phytolacca americana			
Pokeweed	Phytolacca americana			
Polkweed	Symplocarpus foetidus			
Polecat weed	Symplocarpus foetidus			
Poor Annie	Veratrum viride			
Poor mans mustard	Alliaria petiolata			
Possumhaw	Ilex decidua			
Potato	Solanum tuberosum			
Primrose	Primula vulgaris			
Queen Annes lace	Daucus carota	Anthriscus sylvestris		
Quercitron	Quercus velutina			
Radical weed	Solanum carolinense			
Common ragweed	Ambrosia artemisiifolia			
Giant ragweed	Ambrosia trifida			
Great ragweed	Ambrosia trifida			
Common ragwort	Senecio jacobaea			
Hoary ragwort	Senecio erucifolius			
Marsh ragwort	Senecio aquaticus			
Oxford ragwort	Senecio squalidus			
Silver ragwort	Senecio cineraria			
Rantipole	Daucus carota			
Rapeseed	Brassica napus			
Raspberry	Rubus (Idaeobatus) 			
Black raspberry	Rubus occidentalis			
Purple raspberry	Rubus occidentalis			
Redbrush	Cornus amomum			
Redbud	Cercis 			
Eastern redbud	Cercis canadensis			
Western redbud	Cercis occidentalis			
Judas-tree	Cercis siliquastrum			
Red ink plant	Phytolacca americana			
Redweed	Phytolacca americana			
Rheumatism root	Apocynum cannabinum			
Rhubarb	Rheum rhabarbarum			
Ribwort	Plantago major			
Asian rice	Oryza sativa			
African rice	Oryza glaberrima			
Roadweed	Plantago major			
Dames rocket	Hesperis matronalis			
Sweet rocket	Hesperis matronalis			
Winter rocket	Barbarea vulgaris			
Yellow rocket	Barbarea vulgaris			
Rocketcress	Barbarea vulgaris			
Baby rose	Rosa multiflora			
Dwarf wild rose	Rosa virginiana			
Low rose	Rosa virginiana			
Multiflora rose	Rosa multiflora			
Prairie rose	Rosa virginiana			
Rambler rose	Rosa multiflora			
Wild rose	Rosa virginiana			
Rosemary	Rosmarinus officinalis			
Rye	Secale cereale			
Saffron crocus	Crocus sativus			
Sanguinary	Achillea millefolium			
Saskatoon	Amelanchier alnifolia			
Sauce-alone	Alliaria petiolata			
Scarlet berry	Solanum dulcamara			
Scoke	Phytolacca americana			
Scotch cap	Rubus occidentalis			
Scrambled eggs	Corydalis aurea			
Scurvy grass	Barbarea verna			
Common serviceberry	Amelanchier arborea			
Downy serviceberry	Amelanchier arborea			
Shadblow serviceberry	Amelanchier canadensis			
Shadblow	Amelanchier canadensis			
Shadbush	Amelanchier canadensis			
Shrubby mayweed	Oncosiphon suffruticosum			
Silkweed	Asclepias syriaca			
Swamp silkweed	Asclepias incarnata			
Virginia silkweed	Asclepias syriaca			
Skunkweed	Symplocarpus foetidus			
Snakeberry	Solanum dulcamara			
Redwood sorrel	Oxalis oregana			
Corn speedwell	Veronica arvensis			
Wall speedwell	Veronica arvensis			
Spikenard	Nardostachys jatamansi			
Spoolwood	Betula papyrifera			
Squaw bush	Cornus amomum			
Stammerwort	Ambrosia artemisiifolia			
Star-of-Persia	Allium cristophii			
Stickweed	Ambrosia artemisiifolia			
Strawberry	Fragaria × ananassa			
Strawberry tree	Arbutus unedo			
Strawberry tree Marina	Madrone	Arbutus Marina		
Orange swallow-wort	Asclepias tuberosa			
Silky swallow-wort	Asclepias syriaca			
Sneezeweed	Achillea ptarmica			
Sneezewort	Achillea ptarmica			
Sunflower	Helianthus annuus			
Sugarplum	Amelanchier canadensis			
Soldiers woundwort	Achillea millefolium			
Stag bush	Viburnum prunifolium			
Orange swallow-wort	Asclepias tuberosa			
Silky swallow-wort	Asclepias syriaca			
Sweet potato	Ipomoea batatas			
Sweet potato vine	Ipomoea batatas			
Swinies	Sonchus oleraceus			
Sycamore	Platanus 			
Sycamore (California	Platanus racemosa			
Sycamore (Arizona)	Platanus wrighitii			
Sycamore (American	Platanus occidentalis			
Sundari (Bangladesh	Heritiera fomes			
Gewa (Bangladesh	Excoecaria agallocha			
Common tansy	Tanacetum vulgare			
White tansy	Achillea ptarmica			
Wild tansy	Ambrosia artemisiifolia			
Tea	Camellia sinensis			
Appalachian tea	Ilex glabra			
Thimbleberry	Rubus occidentalis			
Thimbleweed	Rudbeckia laciniata			
Thousand-leaf	Achillea millefolium			
Thousand-seal	Achillea millefolium			
Tassel weed	Ambrosia artemisiifolia			
Thistle	(Several genera)			
Annual sow thistle	Sonchus oleraceus			
California thistle	Cirsium arvense			
Canada thistle	Cirsium arvense			
Corn thistle	Cirsium arvense			
Corn sow thistle	Sonchus arvensis			
Creeping thistle	Cirsium arvense			
Cursed thistle	Cirsium arvense			
Field sow thistle	Sonchus arvensis			
Green thistle	Cirsium arvense			
Hard thistle	Cirsium arvense			
Hares thistle	Sonchus oleraceus			
Milk thistle	Sonchus oleraceus			
Nodding thistle	Carduus nutans L			
Perennial thistle	Cirsium arvense			
Prickly thistle	Cirsium arvense			
Sharp-fringed sow Thistle	Sonchus asper			
Small-flowered Thistle	Cirsium arvense			
Spiny sow thistle	Sonchus asper			
Spiny-leaved sow Thistle	Sonchus asper			
Swine thistle	Sonchus arvensis			
Tree sow thistle	Sonchus arvensis			
Way thistle	Cirsium arvense			
Tickleweed	Veratrum viride			
Tomato	Solanum lycopersicum			
Toothwort	Cardamine concatenata			
Cutleaf toothwort	Cardamine concatenata			
Purple-flowered Toothwort	Cardamine concatenata			
Touch-me-not	Impatiens capensis	Impatiens pallida	Mimosa pudica	Cardamine hirsuta
Travellers joy	Clematis virginiana			
Tread-softly	Solanum carolinense			
Tree tobacco	Nicotiana glauca			
Trillium	Trillium 			
Western trillium	Trillium ovatum			
Western wake robin	Trillium ovatum			
White trillium	Trillium grandiflorum			
Tuber-root	Asclepias tuberosa			
Tulsi	Ocimum santalum			
Umbrella palm	Hedyscepe canterburyana			
Umbrella papyrus	Cyperus alternifolius			
Varnish tree	Koelreuteria paniculata			
Velvet bean	Mucuna pruriens			
Blackhaw viburnum	Viburnum prunifolium			
Leatherleaf viburnum	Viburnum rhytidophyllum			
Damask violet	Hesperis matronalis			
Dames violet	Hesperis matronalis			
Dogs-tooth-violet or dogtooth violet	Erythronium dens-canis			
Violet bloom	Solanum dulcamara			
Vipers grass	Scorzonera hispanica			
Virgins bower	Clematis virginiana			
Virginia virgins bower	Clematis virginiana			
Voodoo lily	Dracunculus vulgaris			
Walnut	Juglans sp.			
Mount Connor wattle	Acacia ammobia			
Waybread	Plantago major			
Western redbud	Cercis occidentalis			
Wheat	Triticum spp.			
White mans foot	Plantago major			
White-root	Asclepias tuberosa			
Wild cotton	Apocynum cannabinum	Asclepias syriaca		
Prickly honeysuckle	Lambertia echinata			
Heath-leaved honeysuckle	Lambertia ericifolia			
Fairalls honeysuckle	Lambertia fairallii			
Mountain devil	Lambertia formosa			
Honey flower	Lambertia formosa			
Holly-leaved honeysuckle	Lambertia ilicifolia			
Chittick	Lambertia inermis			
Many-flowered honeysuckle	Lambertia multiflora			
Round-leaf honeysuckle	Lambertia orbifolia			
Green honeysuckle	Lambertia rariflora			
Wild hops	Clematis virginiana			
Coyote willow	Salix exigua			
Goodding willow	Salix gooddingii			
Red willow	Cornus amomum			
Rose willow	Cornus amomum			
Windroot	Asclepias tuberosa			
Wineberry	Rubus phoenicolasius			
Winterberry	Ilex verticillata			
American winterberry	Ilex verticillata			
Evergreen winterberry	Ilex glabra			
Virginia winterberry	Ilex verticillata			
Wintercress	Barbarea vulgaris			
Early wintercress	Barbarea verna			
Woodbine	Clematis virginiana			
Woolly morning glory	Argyreia nervosa			
Roman wormwood	Ambrosia artemisiifolia	Corydalis sempervirens		
Wound rocket	Barbarea vulgaris			
Common yarrow	Achillea millefolium			
Fernleaf yarrow	Achillea filipendulina			
Sneezewort yarrow	Achillea ptarmica			
Woolly yarrow	Achillea tomentosa			
Yellow fieldcress	Rorippa sylvestris			
Yellowwood	Cladrastis lutea	Maclura pomifera		
Yellow coneflower	Echinacea paradoxa			
Yam	"Dioscorea	 (in North America) Ipomoea batatas"			
Yunnan camellia	Camellia yunnanensis			
Zebrawood	Brachystegia spiciformis			
Zedoary	Curcuma zedoaria			
Ageratum	Ageratum houstonianum			
American Marigold	Tagetes erecta			
Annual Vinca	Catharanthus roseus			
Bacopa	Sutera cordata			
Balloon Flower	Platycodon grandiflorus			
Beautybush	Kolkwitzia amabilis			
Bee-Balm	Monarda didyma			
Black-eyed Susan	Rudbeckia fulgida var. sullivantii			
Black-eyed Susan	Rudbeckia hirta			
Bleeding-heart	Dicentra spectabilis			
Bloody Cranesbill	Geranium sanguineum			
Blue Fescue	Festuca glauca			
Blue Sage	Salvia farinacea			
Bluestem	Schizachyrium x			
Butterfly-Weed	Asclepias tuberosa			
Caladium	Caladium x hortulanum			
Canna Lily	Canna generalis			
China Pink	Dianthus chinensis			
chokeberry	Aronia arbutifolia			
Cigar Flower	Cuphea ignea			
Coleus	Solenostemon scutellaroides			
Common Yarrow	Achillea millefolium			
Common Zinnia	Zinnia elegans			
Coral Bells	Heuchera hybrid			
Creeping Zinnia	Sanvitalia procumbens			
Creeping Zinnia	Sanvitalia speciosa			
Crested Cockscomb	Celosia agentea var. cristata			
Crested Iris	Iris cristata			
Daylily	Hemerocallis hybrids			
Doublefile Viburnum	Viburnum plicatum var. tomentosum			
Dusty Miller	Senecio cineraria			
Eastern Redbud	Cercis canadensis			
False Indigo	Baptisia australis			
Fan Flower	Scaevola aemula			
Fern-leaf Yarrow	Achillea fillipenulina			
Field Pansy	Viola tricolor			
Flowering Cabbage/Kale	Brassica oleracea			
Flowering Tobacco	Nicotiana x sanderae			
Fortune's Hosta	Hosta fortunei 'Albomarginata'			
Fountain Grass	Pennisetum alopecuroides			
Fountain Grass	Pennisetum setaceum			
Fragrant Sumac	Rhus aromatica			
French Marigold	Tagetes patula			
Fringed Bleeding-heart	Dicentra exima			
Garden Impatiens	Impatiens walleriana			
Garden Phlox	Phlox paniculata			
Garden Verbena	Verbena x hybrida			
Gazania	Gazania rigens			
Gentian Sage	Salvia patens			
Globe Amaranth	Gomphrena globosa			
Globe Amaranth	Gomphrena haageana			
Grass Pink	Dianthus plumarius			
Hinoki Falsecypress	Chamaecyparis obtusa			
Hosta Kabitan	Hosta sieboldii			
Hybrid Astilbe	Astilbe hybrids			
Hybrid Bearded Iris	Iris hybrids			
Hybrid Columbine	Aquilegia x hybrida			
Hybrid Pansy	Viola x wittrockiana			
Indian Grass	Sorghastrum x			
Ivy Geranium	Pelargonium peltatum			
Japanese Iris	Iris ensata			
Japanese tree lilac	Syringa reticulata			
Joe-Pye Weed	Eupatorium purpureum			
Lady's Mantle	Alchemilla mollis			
Lambs Ears	Stachys x			
Lavender	Lavendula angustifolia			
Lilac	Syringa vulgaris			
Lily-of-the-Valley	Convallaria majalis			
Lobelia	Lobelia erinus			
Maiden Pink	Dianthus deltoides			
Million Gold	Melampodium paludosum			
Moss Phlox	Phlox subulata			
Moss Verbena	Verbena tenuisecta			
Narrow-leaved Zinnia	Zinnia angustifolia			
Nasturtium	Tropaeolum majus			
New England Aster	Aster novae-angliae			
